alpha,attention_effective_rank,attention_effective_rank_lower,attention_effective_rank_upper,beta,cell_id,correlation,d,delta,distance_uniform,distance_uniform_lower,distance_uniform_upper,gamma,input_kind,jacobian_op,jacobian_op_lower,jacobian_op_upper,label,m,mask,max_mass,max_mass_lower,max_mass_upper,mean_cij2,mean_vi_vj,n,normalized_entropy,normalized_entropy_lower,normalized_entropy_upper,phi,s,sample_count,self_mass,self_mass_lower,self_mass_upper,tau
0.0,0.5603749083385144,0.5603749083385144,0.5603749083385144,0.7071067811865476,7,0.25,32,0.3494161069393158,0.21138203144073486,0.21138203144073486,0.21138203144073486,0.7071067811865476,synthetic,0.16683734953403473,0.16683734953403473,0.16683734953403473,screened_candidate,8,causal,0.18333977460861206,0.18333977460861206,0.18333977460861206,0.07063625007867813,0.9999781250953674,24,0.9078863263130188,0.9078863263130188,0.9078863263130188,0.7853981633974483,1.0,1,0.09977931529283524,0.09977931529283524,0.09977931529283524,0.7655938267707825
0.0,0.5131083645668926,0.5131083645668926,0.5131083645668926,0.7071067811865476,7,,32,0.05112138390541077,0.18643175065517426,0.18643175065517426,0.18643175065517426,0.7071067811865476,real_activation,0.14155451953411102,0.14155451953411102,0.14155451953411102,screened_candidate,8,unmasked,0.14464539289474487,0.14464539289474487,0.14464539289474487,0.0317501537501812,0.9996583461761475,24,0.9050981402397156,0.9050981402397156,0.9050981402397156,0.7853981633974483,1.0,1,0.030942870303988457,0.030942870303988457,0.030942870303988457,0.7849749326705933
0.0,0.5145701791166796,0.5145701791166796,0.5145701791166796,0.7071067811865476,7,,32,0.049827516078948975,0.24840600788593292,0.24840600788593292,0.24840600788593292,0.7071067811865476,real_activation,0.19362309575080872,0.19362309575080872,0.19362309575080872,screened_candidate,8,causal,0.20960284769535065,0.20960284769535065,0.20960284769535065,0.0317501537501812,0.9996583461761475,24,0.906097412109375,0.906097412109375,0.906097412109375,0.7853981633974483,1.0,1,0.07054869830608368,0.07054869830608368,0.07054869830608368,0.8069526553153992
0.0,0.38915353332395614,0.38915353332395614,0.38915353332395614,6.123233995736766e-17,8,0.25,32,-0.24024298787117004,0.2560301721096039,0.2560301721096039,0.2560301721096039,1.0,synthetic,0.18497253954410553,0.18497253954410553,0.18497253954410553,boundary_uncertain,8,unmasked,0.2091333419084549,0.2091333419084549,0.2091333419084549,0.07063625007867813,0.9999781250953674,24,0.8562819957733154,0.8562819957733154,0.8562819957733154,1.5707963267948966,1.0,1,0.02326185069978237,0.02326185069978237,0.02326185069978237,0.9214270114898682
0.0,0.4537411660999342,0.4537411660999342,0.4537411660999342,6.123233995736766e-17,8,0.25,32,-0.2686581611633301,0.3306475281715393,0.3306475281715393,0.3306475281715393,1.0,synthetic,0.2355218082666397,0.2355218082666397,0.2355218082666397,screened_candidate,8,causal,0.32664915919303894,0.32664915919303894,0.32664915919303894,0.07063625007867813,0.9999781250953674,24,0.8180280327796936,0.8180280327796936,0.8180280327796936,1.5707963267948966,1.0,1,0.05402199178934097,0.05402199178934097,0.05402199178934097,0.8612025380134583
0.0,0.49390820467659685,0.49390820467659685,0.49390820467659685,6.123233995736766e-17,8,,32,-0.0025528669357299805,0.22973023355007172,0.22973023355007172,0.22973023355007172,1.0,real_activation,0.12557871639728546,0.12557871639728546,0.12557871639728546,gradient_starved,8,unmasked,0.13393104076385498,0.13393104076385498,0.13393104076385498,0.0317501537501812,0.9996583461761475,24,0.9120850563049316,0.9120850563049316,0.9120850563049316,1.5707963267948966,1.0,1,0.02741236612200737,0.02741236612200737,0.02741236612200737,0.814175546169281
0.0,0.5062090191671954,0.5062090191671954,0.5062090191671954,6.123233995736766e-17,8,,32,-0.01256853062659502,0.2949604094028473,0.2949604094028473,0.2949604094028473,1.0,real_activation,0.17504632472991943,0.17504632472991943,0.17504632472991943,screened_candidate,8,causal,0.19073663651943207,0.19073663651943207,0.19073663651943207,0.0317501537501812,0.9996583461761475,24,0.9224941730499268,0.9224941730499268,0.9224941730499268,1.5707963267948966,1.0,1,0.0710851326584816,0.0710851326584816,0.0710851326584816,0.7187989950180054
1.0,0.6426845400211334,0.6426845400211334,0.6426845400211334,0.0,9,0.25,32,2.4243154525756836,0.35953274369239807,0.35953274369239807,0.35953274369239807,0.0,synthetic,0.1760326474905014,0.1760326474905014,0.1760326474905014,screened_candidate,8,unmasked,0.204743891954422,0.204743891954422,0.204743891954422,0.07063625007867813,0.9999781250953674,24,0.848801851272583,0.848801851272583,0.848801851272583,0.0,1.0,1,0.1929912567138672,0.1929912567138672,0.1929912567138672,0.9374400973320007
1.0,0.8030757654665086,0.8030757654665086,0.8030757654665086,0.0,9,0.25,32,2.4243154525756836,0.44525209069252014,0.44525209069252014,0.44525209069252014,0.0,synthetic,0.21122226119041443,0.21122226119041443,0.21122226119041443,screened_candidate,8,causal,0.4016668200492859,0.4016668200492859,0.4016668200492859,0.07063625007867813,0.9999781250953674,24,0.8398166298866272,0.8398166298866272,0.8398166298866272,0.0,1.0,1,0.3231588900089264,0.3231588900089264,0.3231588900089264,0.7885977029800415
1.0,0.6723530620580145,0.6723530620580145,0.6723530620580145,0.0,9,,32,2.817336082458496,0.37140780687332153,0.37140780687332153,0.37140780687332153,0.0,real_activation,0.22183732688426971,0.22183732688426971,0.22183732688426971,screened_candidate,8,unmasked,0.26964542269706726,0.26964542269706726,0.26964542269706726,0.0317501537501812,0.9996583461761475,24,0.7321457266807556,0.7321457266807556,0.7321457266807556,0.0,1.0,1,0.26964542269706726,0.26964542269706726,0.26964542269706726,1.1411395072937012
